"nom de l'enseigne";"date de l'export";"code de l'article";"libellé de l'article";"référence de la marque";"code EAN";"nom de la marque";"prix net HT du client dans l'agence";"prix public HT";"total ecocontribution HT";"disponibilité";"unité de vente (par m², ...)";"libellé unité de vente (par m², ...)";"conditionnement (par m², ...)";"libellé conditionnement (par m², ...)";"code nomenclature niv. 1";"libellé nomenclature niv. 1";"code nomenclature niv. 2";"libellé nomenclature niv. 2";"code nomenclature niv. 3";"libellé nomenclature niv. 3";"code nomenclature niv. 4";"libellé nomenclature niv. 4";"code nomenclature niv. 5";"libellé nomenclature niv. 5"
"dispano";"20211005";"3016617";"Contreplaqué Rigaply tout bouleau qualité S/BB brut 1500x3000mm 24mm";"-";"";"RIGAWOOD";"42.44";"52.98";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"7834605";"Contreplaqué Riga Décor âme bouleau faces placage semi-déroulé bouleau choix AB/B 300x150cm ép. 9mm";"RIGA DÉCOR - OPTI";"";"RIGAWOOD";"34.27";"42.78";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"3013111";"Contreplaqué Rigaply tout bouleau qualité BB/BB brut 1500x3000mm 40mm, certifié PEFC 100%";"";"";"RIGAWOOD";"69.25";"86.46";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"3016618";"Contreplaqué Rigaply tout bouleau qualité S/BB brut 1500x3000mm 27mm";"";"";"RIGAWOOD";"47.75";"59.63";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"3016616";"Contreplaqué Rigaply tout bouleau qualité S/BB brut 1500x3000mm 21mm";"";"";"RIGAWOOD";"37.10";"46.32";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"3016615";"Contreplaqué Rigaply tout bouleau qualité S/BB brut 1500x3000mm 18mm, certifié PEFC 100%";"";"";"RIGAWOOD";"38.40";"45.39";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"3013103";"Contreplaqué Rigaply tout bouleau qualité BB/BB brut 1500x3000mm 12mm, certifié PEFC 100%";"";"";"RIGAWOOD";"19.24";"24.03";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"7594222";"Contreplaqué RIGA DECOR tout bouleau âme bouleau faces bouleau AB/B 2 faces laqués (vernis) collage extérieur WBP format 250x125cm épaisseur 15mm";"";"";"RIGAWOOD";"46.64";"58.23";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"3016620";"Contreplaqué Rigaply tout bouleau qualité S/BB brut 1500x3000mm 35mm";"";"";"RIGAWOOD";"64.94";"81.07";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"3013104";"Contreplaqué Rigaply tout bouleau qualité BB/BB brut 1500x3000mm 15mm, certifié PEFC 100%";"";"";"RIGAWOOD";"21.92";"25.92";"0";"EN STOCK";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"7834601";"Contreplaqué Riga Décor âme bouleau faces placage semi-déroulé bouleau choix AB/B format 250x125cm épaisseur 9mm";"RIGA DÉCOR - OPTI";"";"RIGAWOOD";"32.35";"40.39";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
